class_id	parent_class_id	pref_name	class_level	protein_class_desc
226	1220.0	Cytochrome P450 17A1	5	enzyme  cytochrome p450  cyp_17  cyp_17a  cyp_17a1
227	1221.0	Cytochrome P450 19A1	5	enzyme  cytochrome p450  cyp_19  cyp_19a  cyp_19a1
228	1222.0	Cytochrome P450 21A2	5	enzyme  cytochrome p450  cyp_21  cyp_21a  cyp_21a2
229	1223.0	Cytochrome P450 24A1	5	enzyme  cytochrome p450  cyp_24  cyp_24a  cyp_24a1
230	1224.0	Cytochrome P450 26A1	5	enzyme  cytochrome p450  cyp_26  cyp_26a  cyp_26a1
231	1225.0	Cytochrome P450 51A1	5	enzyme  cytochrome p450  cyp_51  cyp_51a  cyp_51a1
232	1289.0	AGC protein kinase PDK1 subfamily	5	enzyme  kinase  protein kinase  agc  pdk1
233	1289.0	AGC protein kinase YANK family	5	enzyme  kinase  protein kinase  agc  yank
234	1339.0	CAMK protein kinase PHk family	5	enzyme  kinase  protein kinase  camk  phk
235	1339.0	CAMK protein kinase PIM family	5	enzyme  kinase  protein kinase  camk  pim
236	1339.0	CAMK protein kinase PKD family	5	enzyme  kinase  protein kinase  camk  pkd
237	148.0	CMGC protein kinase CDK family	5	enzyme  kinase  protein kinase  cmgc  cdk
239	148.0	CMGC protein kinase GSK family	5	enzyme  kinase  protein kinase  cmgc  gsk
240	1334.0	TKL protein kinase LRRK family	5	enzyme  kinase  protein kinase  tkl  lrrk
241	1334.0	TKL protein kinase RIPK family	5	enzyme  kinase  protein kinase  tkl  ripk
242	141.0	Tyrosine protein kinase SrcA	6	enzyme  kinase  protein kinase  tk  src  srca
243	1024.0	Epithelial sodium channel	3	ion channel  lgic  enac
245	1339.0	CAMK protein kinase DAPK family	5	enzyme  kinase  protein kinase  camk  dapk
246	1339.0	CAMK protein kinase MLCK family	5	enzyme  kinase  protein kinase  camk  mlck
247	1339.0	CAMK protein kinase TSSK family	5	enzyme  kinase  protein kinase  camk  tssk
248	148.0	CMGC protein kinase CDKL family	5	enzyme  kinase  protein kinase  cmgc  cdkl
249	148.0	CMGC protein kinase MAPK family	5	enzyme  kinase  protein kinase  cmgc  mapk
250	148.0	CMGC protein kinase SRPK family	5	enzyme  kinase  protein kinase  cmgc  srpk
251	158.0	Other protein kinase AUR family	5	enzyme  kinase  protein kinase  other  aur
252	158.0	Other protein kinase CK2 family	5	enzyme  kinase  protein kinase  other  ck2
253	158.0	Other protein kinase IKK family	5	enzyme  kinase  protein kinase  other  ikk
254	158.0	Other protein kinase MOS family	5	enzyme  kinase  protein kinase  other  mos
255	158.0	Other protein kinase NAK family	5	enzyme  kinase  protein kinase  other  nak
256	158.0	Other protein kinase NEK family	5	enzyme  kinase  protein kinase  other  nek
257	158.0	Other protein kinase PLK family	5	enzyme  kinase  protein kinase  other  plk
258	158.0	Other protein kinase ULK family	5	enzyme  kinase  protein kinase  other  ulk
259	158.0	Other protein kinase WEE family	5	enzyme  kinase  protein kinase  other  wee
260	158.0	Other protein kinase Wnk family	5	enzyme  kinase  protein kinase  other  wnk
261	1331.0	STE protein kinase STE11 family	5	enzyme  kinase  protein kinase  ste  ste11
262	1331.0	STE protein kinase STE20 family	5	enzyme  kinase  protein kinase  ste  ste20
269	1339.0	CAMK protein kinase CAMK2 family	5	enzyme  kinase  protein kinase  camk  camk2
270	1339.0	CAMK protein kinase RAD53 family	5	enzyme  kinase  protein kinase  camk  rad53
271	158.0	Other protein kinase CDC7 family	5	enzyme  kinase  protein kinase  other  cdc7
272	158.0	Other protein kinase NKF1 family	5	enzyme  kinase  protein kinase  other  nkf1
273	158.0	Other protein kinase TOPK family	5	enzyme  kinase  protein kinase  other  topk
279	1103.0	Serine/threonine/tyrosine protein phosphatase	4	enzyme  phosphatase  protein phosphatase  ser_thr_tyr
281	1271.0	Calcium sensing receptor	5	membrane receptor  7tm3  ion  calcium sensing receptor  calcium sensing receptor
283	1618.0	AGC protein kinase GRK subfamily	6	enzyme  kinase  protein kinase  agc  grk  grk
286	206.0	AGC protein kinase PKC eta subfamily	6	enzyme  kinase  protein kinase  agc  pkc  eta
287	1648.0	AGC protein kinase MSK subfamily	6	enzyme  kinase  protein kinase  agc  rsk  msk
288	1648.0	AGC protein kinase p70 subfamily	6	enzyme  kinase  protein kinase  agc  rsk  p70
289	1648.0	AGC protein kinase RSK subfamily	6	enzyme  kinase  protein kinase  agc  rsk  rsk
291	1452.0	Atypical protein kinase BCR family	5	enzyme  kinase  protein kinase  atypical  bcr
292	158.0	Other protein kinase Bud32 family	5	enzyme  kinase  protein kinase  other  bud 32
293	158.0	Other protein kinase Haspin family	5	enzyme  kinase  protein kinase  other  haspin
294	1623.0	TKL protein kinase ILK subfamily	6	enzyme  kinase  protein kinase  tkl  mlk  ilk
295	1623.0	TKL protein kinase LZK subfamily	6	enzyme  kinase  protein kinase  tkl  mlk  lzk
297	148.0	CMGC protein kinase CLK family	5	enzyme  kinase  protein kinase  cmgc  clk
298	1331.0	STE protein kinase STE7 family	5	enzyme  kinase  protein kinase  ste  ste7
301	1668.0	AGC protein kinase GEK subfamily	6	enzyme  kinase  protein kinase  agc  dmpk  gek
